# 3360x3360 domain, 3000 time steps, heat equation solver
#processes, time, proc_ratio, speedup
16, 38.07, 1, 1
36, 19.42, 2.25, 1.96
64, 11.93, 4, 3.19
100, 8.85, 6.25, 4.30
144, 7.09, 9, 5.36
196, 5.75, 12.25, 6.62
256, 4.50, 16, 8.46
